Date,Tweets,Likes
20240716-1310,0,0
20240716-1315,0,0
20240716-1320,0,2
20240716-1325,1,0
20240716-1330,0,4
20240716-1335,2,2
20240716-1340,0,0
20240716-1345,0,0
20240716-1350,2,4
20240716-1355,0,0
20240716-1400,0,-1
20240716-1405,0,0
20240716-1410,0,0
20240716-1415,0,3
20240716-1420,1,5
20240716-1425,0,0
20240716-1430,0,0
20240716-1435,0,0
20240716-1440,0,0
20240716-1445,0,0
20240716-1450,0,0
20240716-1455,0,0
20240716-1500,0,0
20240716-1505,0,0
20240716-1510,0,0
20240716-1515,0,2
20240716-1520,3,5
20240716-1525,1,2
20240716-1530,0,4
20240716-1535,0,0
20240716-1540,2,2
20240716-1545,0,3
20240716-1550,0,0
20240716-1555,0,0
20240716-1600,0,-1
20240716-1605,0,0
20240716-1610,0,0
20240716-1615,0,0
20240716-1620,1,7
20240716-1625,1,0
20240716-1630,0,0
20240716-1635,1,2
20240716-1640,0,5
20240716-1645,2,5
20240716-1650,1,7
20240716-1655,0,0
20240716-1700,0,0
20240716-1705,0,0
20240716-1710,0,0
20240716-1715,0,0
20240716-1720,0,0
20240716-1725,0,0
20240716-1730,0,0
20240716-1735,0,0
20240716-1740,0,0
20240716-1745,0,0
20240716-1750,0,0
20240716-1755,0,0
20240716-1800,0,0
20240716-1805,0,0
20240716-1810,0,0
20240716-1815,0,0
20240716-1820,0,0
20240716-1825,0,0
20240716-1830,0,0
20240716-1835,0,3
20240716-1840,0,0
20240716-1845,1,2
20240716-1850,0,1
20240716-1855,0,0
20240716-1900,0,0
20240716-1905,0,2
20240716-1910,0,0
20240716-1915,0,0
20240716-1920,0,0
20240716-1925,0,0
20240716-1930,0,0
20240716-1935,0,0
20240716-1940,0,0
20240716-1945,0,0
20240716-1950,0,0
20240716-1955,0,0
20240716-2000,0,0
20240716-2005,0,-1
20240716-2010,0,0
20240716-2015,0,0
20240716-2020,1,1
20240716-2025,1,0
20240716-2030,0,0
20240716-2035,0,3
20240716-2040,0,3
20240716-2045,0,0
20240716-2050,0,1
20240716-2055,0,0
20240716-2100,0,0
20240716-2105,0,0
20240716-2110,0,0
20240716-2115,0,1
20240716-2120,2,2
20240716-2125,0,0
20240716-2130,2,4
20240716-2135,2,7
20240716-2140,0,1
20240716-2145,0,2
20240716-2150,0,8
20240716-2155,0,4
20240716-2200,1,0
20240716-2205,0,0
20240716-2210,0,0
20240716-2215,0,0
20240716-2220,3,2
20240716-2225,1,5
20240716-2230,2,1
20240716-2235,1,10
20240716-2240,1,3
20240716-2245,0,2
20240716-2250,0,0
20240716-2255,0,1
20240716-2300,0,0
20240716-2305,0,0
20240716-2310,0,0
20240716-2315,0,0
20240716-2320,0,0
20240716-2325,0,0
20240716-2330,0,0
20240716-2335,0,0
20240716-2340,0,0
20240716-2345,0,0
20240716-2350,0,0
20240716-2355,0,-1
20240717-0000,0,0
20240717-0005,0,0
20240717-0010,0,0
20240717-0015,0,0
20240717-0020,0,0
20240717-0025,0,0
20240717-0030,0,0
20240717-0035,0,0
20240717-0040,0,0
20240717-0045,0,0
20240717-0050,0,0
20240717-0055,0,0
20240717-0100,0,0
20240717-0105,0,0
20240717-0110,0,0
20240717-0115,0,0
20240717-0120,0,0
20240717-0125,0,0
20240717-0130,0,0
20240717-0135,0,0
20240717-0140,0,0
20240717-0145,0,0
20240717-0150,0,0
20240717-0155,0,0
20240717-0200,0,0
20240717-0205,0,0
20240717-0210,0,0
20240717-0215,0,0
20240717-0220,0,0
20240717-0225,0,0
20240717-0230,0,0
20240717-0235,0,0
20240717-0240,0,0
20240717-0245,0,0
20240717-0250,0,0
20240717-0255,0,0
20240717-0300,0,0
20240717-0305,0,0
20240717-0310,0,0
20240717-0315,0,0
20240717-0320,0,0
20240717-0325,0,0
20240717-0330,0,0
20240717-0335,0,0
20240717-0340,0,0
20240717-0345,0,0
20240717-0350,0,0
20240717-0355,0,0
20240717-0400,0,0
20240717-0405,0,0
20240717-0410,0,0
20240717-0415,0,0
20240717-0420,0,0
20240717-0425,0,0
20240717-0430,0,0
20240717-0435,0,0
20240717-0440,0,0
20240717-0445,0,0
20240717-0450,0,0
20240717-0455,0,0
20240717-0500,0,0
