ID,Timestamp,Central,UTC,Tweet,Replies,Retweets,Likes,Views,Source,Birdwatch,URL
1860455595310043596,1732402154,2024-11-23T16:49:14-0600,Sat 23 Nov 22:49:14 UTC 2024,@alx Those in the government who fail to get their job done efficiently will be fired,376,523,"3,676","56,538",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860455595310043596
1860456684084158883,1732402413,2024-11-23T16:53:33-0600,Sat 23 Nov 22:53:33 UTC 2024,Best fake ad ever 😂 This meme ad was made in 2013 when it was actually vaguely possible that it might be real. https://t.co/BUG9ZhJhs1,"9,548","18,623","347,338","84,058,304",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860456684084158883
1860456984014643254,1732402485,2024-11-23T16:54:45-0600,Sat 23 Nov 22:54:45 UTC 2024,"@CharlieKNews Without voter ID, fraud is certain",508,899,"14,669","287,034",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860456984014643254
1860457082488533171,1732402508,2024-11-23T16:55:08-0600,Sat 23 Nov 22:55:08 UTC 2024,@diana_dukic 💯,55,25,420,"16,135",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860457082488533171
1860457467903135876,1732402600,2024-11-23T16:56:40-0600,Sat 23 Nov 22:56:40 UTC 2024,@ValentinaForUSA 🔫🔫🔫,233,176,"12,742","2,262,371",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860457467903135876
1860458140430406055,1732402760,2024-11-23T16:59:20-0600,Sat 23 Nov 22:59:20 UTC 2024,What a coincidence,"6,163","36,784","336,901","50,279,030",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860458140430406055
1860458558883566039,1732402860,2024-11-23T17:01:00-0600,Sat 23 Nov 23:01:00 UTC 2024,@teslaownersSV Yes,37,35,505,"19,044",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860458558883566039
1860458603221508167,1732402871,2024-11-23T17:01:11-0600,Sat 23 Nov 23:01:11 UTC 2024,@AutismCapital 😂,56,46,788,"34,270",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860458603221508167
1860458846138912873,1732402929,2024-11-23T17:02:09-0600,Sat 23 Nov 23:02:09 UTC 2024,@stillgray They have become a joke,115,110,"1,404","52,735",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860458846138912873
1860459249911881885,1732403025,2024-11-23T17:03:45-0600,Sat 23 Nov 23:03:45 UTC 2024,Democrats are intolerant meanies,"3,300","6,514","37,488","4,804,795",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860459249911881885
1860460670296195562,1732403364,2024-11-23T17:09:24-0600,Sat 23 Nov 23:09:24 UTC 2024,The real problem is that Neil decided to grovel to the woke far left when he got hit with a #MeToo. You can avoid being canceled if you beg for forgiveness and push their nonsense ideology. The truth hurts.,"3,247","9,535","89,916","17,368,626",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860460670296195562
1860461653709455417,1732403598,2024-11-23T17:13:18-0600,Sat 23 Nov 23:13:18 UTC 2024,"@jeffskoll @SpaceX @Tesla Thanks Jeff 😀 Note, xAI is a generalized AI company and was not created as an offshoot of Tesla in any way whatsoever.",45,56,724,"20,239",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860461653709455417
1860461924330209393,1732403663,2024-11-23T17:14:23-0600,Sat 23 Nov 23:14:23 UTC 2024,@Inevitablewest 🇺🇸🇬🇧,133,178,"1,996","35,048",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860461924330209393
1860462173878694059,1732403722,2024-11-23T17:15:22-0600,Sat 23 Nov 23:15:22 UTC 2024,Legacy (formerly “mainstream”) media lies,"1,775","5,701","36,663","8,673,107",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860462173878694059
1860462427940241603,1732403783,2024-11-23T17:16:23-0600,Sat 23 Nov 23:16:23 UTC 2024,@GailAlfarATX 💯😂,91,44,677,"21,124",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860462427940241603
1860462586040393809,1732403820,2024-11-23T17:17:00-0600,Sat 23 Nov 23:17:00 UTC 2024,RT @dogeofficialceo: The DOGE is for the people https://t.co/yKNX5gvqWW,0,"1,202",0,24,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860462586040393809
1860463707735679201,1732404088,2024-11-23T17:21:28-0600,Sat 23 Nov 23:21:28 UTC 2024,RT @EndWokeness: NEW STUDY: Woke people literally speak a different language than everyone else https://t.co/rc4fhuQECK,0,"1,327",0,22,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860463707735679201
