date,adriantweets,adrianlikes,elontweets,elonlikes
20240730-1220,1,0,2,5
20240730-1225,0,0,1,1
20240730-1230,0,0,2,7
20240730-1235,0,1,0,0
20240730-1240,1,0,0,0
20240730-1245,0,0,0,0
20240730-1250,0,0,0,0
20240730-1255,1,1,0,0
20240730-1300,0,1,0,0
20240730-1305,1,2,0,0
20240730-1310,0,1,0,0
20240730-1315,0,0,0,0
20240730-1320,0,1,0,0
20240730-1325,0,0,0,0
20240730-1330,0,0,0,0
20240730-1335,0,0,0,0
20240730-1340,0,3,0,0
20240730-1345,0,0,0,0
20240730-1350,0,0,0,0
20240730-1355,0,1,0,0
20240730-1400,1,0,0,0
20240730-1405,1,0,0,1
20240730-1410,1,2,1,1
20240730-1415,1,2,0,0
20240730-1420,0,0,0,0
20240730-1425,0,0,0,0
20240730-1430,0,0,0,0
20240730-1435,0,0,0,0
20240730-1440,0,0,0,0
20240730-1445,2,0,0,0
20240730-1450,0,1,0,0
20240730-1455,0,0,0,0
20240730-1500,1,1,0,0
20240730-1505,1,3,0,0
20240730-1510,0,0,0,0
20240730-1515,0,0,0,0
20240730-1520,0,1,0,0
20240730-1525,0,0,0,0
20240730-1530,0,1,0,0
20240730-1535,1,1,0,0
20240730-1540,0,0,0,0
20240730-1545,0,3,0,0
20240730-1550,0,0,0,0
20240730-1555,0,0,0,0
20240730-1600,0,0,0,0
20240730-1605,1,1,0,0
20240730-1610,0,0,0,0
20240730-1615,0,1,0,0
20240730-1620,0,0,0,0
20240730-1625,0,0,0,0
20240730-1630,0,1,0,0
20240730-1635,0,0,0,0
20240730-1640,0,0,0,0
20240730-1645,0,0,0,0
20240730-1650,0,0,0,0
20240730-1655,0,1,0,0
20240730-1700,0,1,0,0
20240730-1705,1,0,0,0
20240730-1710,1,0,0,0
20240730-1715,1,1,1,1
20240730-1720,0,0,0,0
20240730-1725,0,0,0,0
20240730-1730,0,0,0,0
20240730-1735,0,0,0,0
20240730-1740,0,0,0,0
20240730-1745,0,0,0,0
20240730-1750,0,1,0,0
20240730-1755,0,0,0,0
20240730-1800,0,0,0,0
20240730-1805,1,0,0,0
20240730-1810,0,0,0,0
20240730-1815,1,1,0,0
20240730-1820,0,4,0,0
20240730-1825,0,0,0,0
20240730-1830,0,4,0,0
20240730-1835,1,0,0,0
20240730-1840,4,3,0,0
20240730-1845,0,0,0,0
20240730-1850,0,0,0,0
20240730-1855,0,1,0,0
20240730-1900,0,0,0,0
20240730-1905,1,2,0,0
20240730-1910,0,4,0,0
20240730-1915,0,3,0,0
20240730-1920,0,0,0,0
20240730-1925,0,0,0,0
20240730-1930,0,0,0,0
20240730-1935,0,0,0,0
20240730-1940,0,0,0,0
20240730-1945,0,0,0,0
20240730-1950,0,1,0,0
20240730-1955,0,0,1,1
20240730-2000,0,0,2,6
20240730-2005,1,1,3,4
20240730-2010,0,1,3,11
20240730-2015,0,2,2,8
20240730-2020,0,1,0,0
20240730-2025,0,0,0,0
20240730-2030,0,0,0,0
20240730-2035,0,0,0,0
20240730-2040,0,3,0,0
20240730-2045,0,0,0,0
20240730-2050,0,0,0,0
20240730-2055,0,0,0,0
20240730-2100,0,0,0,0
20240730-2105,0,0,0,0
20240730-2110,0,0,0,0
20240730-2115,0,0,0,0
20240730-2120,2,0,0,0
20240730-2125,0,0,0,0
20240730-2130,0,0,0,0
20240730-2135,0,0,0,0
20240730-2140,0,0,0,0
20240730-2145,0,0,0,0
20240730-2150,0,0,0,0
20240730-2155,1,0,0,0
20240730-2200,0,0,0,0
20240730-2205,0,0,0,0
20240730-2210,0,0,0,0
20240730-2215,0,0,0,0
20240730-2220,0,2,0,0
20240730-2225,1,1,0,0
20240730-2230,0,0,0,0
20240730-2235,0,0,0,0
20240730-2240,0,0,0,0
20240730-2245,0,0,0,0
20240730-2250,0,0,0,0
20240730-2255,0,0,0,0
20240730-2300,0,0,0,0
20240730-2305,0,0,0,0
20240730-2310,0,0,1,2
20240730-2315,0,0,0,0
20240730-2320,0,0,0,0
20240730-2325,0,0,0,2
20240730-2330,0,0,1,4
20240730-2335,0,0,0,3
20240730-2340,0,0,1,1
20240730-2345,0,0,1,7
20240730-2350,0,0,0,2
20240730-2355,0,0,0,0
20240731-0000,0,0,1,13
20240731-0005,0,0,1,3
20240731-0010,2,1,1,7
20240731-0015,0,1,0,2
20240731-0020,0,0,2,7
20240731-0025,0,0,1,5
20240731-0030,0,2,0,2
20240731-0035,0,1,0,6
20240731-0040,0,0,0,4
20240731-0045,0,0,0,4
20240731-0050,0,0,1,8
20240731-0055,0,0,0,5
20240731-0100,0,0,0,3
20240731-0105,0,0,0,0
20240731-0110,0,0,0,0
20240731-0115,0,0,0,0
20240731-0120,0,0,0,0
20240731-0125,0,0,0,0
20240731-0130,0,0,0,0
20240731-0135,0,0,0,0
20240731-0140,0,0,0,0
20240731-0145,0,0,0,0
20240731-0150,0,0,0,0
20240731-0155,0,1,0,0
20240731-0200,0,0,0,0
20240731-0205,0,1,0,0
20240731-0210,0,0,0,0
20240731-0215,0,3,0,0
20240731-0220,0,0,0,0
20240731-0225,0,1,0,0
20240731-0230,0,0,0,0
20240731-0235,0,0,0,0
20240731-0240,0,0,0,0
20240731-0245,0,0,0,0
20240731-0250,0,0,0,0
20240731-0255,0,0,0,0
20240731-0300,0,0,0,0
20240731-0305,0,0,0,0
20240731-0310,0,0,0,0
20240731-0315,0,0,0,0
20240731-0320,0,0,0,0
20240731-0325,0,0,0,0
20240731-0330,0,0,0,0
20240731-0335,0,0,0,0
20240731-0340,0,0,0,0
20240731-0345,0,0,0,0
20240731-0350,0,0,0,0
20240731-0355,0,0,0,0
20240731-0400,0,0,0,0
20240731-0405,1,0,0,0
20240731-0410,0,1,0,0
20240731-0415,0,0,0,0
20240731-0420,0,0,0,0
20240731-0425,0,0,0,0
20240731-0430,0,0,0,0
20240731-0435,0,0,0,0
20240731-0440,0,0,0,0
20240731-0445,0,0,0,0
20240731-0450,0,0,0,0
20240731-0455,0,0,0,0
20240731-0500,0,0,0,0
20240731-0505,0,0,0,0
20240731-0510,0,0,0,0
20240731-0515,0,0,0,0
20240731-0520,0,0,0,0
20240731-0525,0,0,0,0
20240731-0530,0,0,0,0
20240731-0535,0,0,0,0
20240731-0540,0,0,0,0
20240731-0545,0,0,0,0
20240731-0550,0,0,0,0
20240731-0555,0,0,0,0
20240731-0600,0,0,0,0
20240731-0605,0,0,0,0
20240731-0610,0,0,0,0
20240731-0615,0,0,0,0
20240731-0620,0,0,0,0
20240731-0625,0,0,0,0
20240731-0630,0,0,0,0
20240731-0635,0,0,0,0
20240731-0640,0,0,0,0
20240731-0645,0,0,0,0
20240731-0650,0,0,0,0
20240731-0655,0,0,0,0
20240731-0700,0,0,0,0
20240731-0705,0,0,0,0
20240731-0710,0,0,0,0
20240731-0715,0,0,1,1
20240731-0720,0,0,2,12
20240731-0725,0,0,0,6
20240731-0730,0,0,2,9
20240731-0735,0,0,0,6
20240731-0740,0,0,5,7
20240731-0745,0,0,1,1
20240731-0750,0,0,0,4
20240731-0755,0,0,0,6
20240731-0800,0,0,0,0
20240731-0805,0,0,0,0
20240731-0810,0,0,1,2
20240731-0815,0,0,0,0
20240731-0820,0,0,1,1
20240731-0825,0,0,0,0
20240731-0830,0,0,0,0
20240731-0835,0,0,0,0
20240731-0840,0,0,0,0
20240731-0845,0,0,1,7
